Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
ant-1.7.csv,0.6428571428571429,0.4879518072289157,0.8272780240131511,0.825503355704698,0.5547945205479452,0.5600743742103901
arc.csv,0.375,0.2222222222222222,0.7734836285560923,0.8675213675213675,0.27906976744186046,0.28867513459481287
camel-1.6.csv,0.4473684210526316,0.2712765957446808,0.7094868424655659,0.7927461139896373,0.33774834437086093,0.3483684576807018
e-learning.csv,0.5,0.4,0.9406779661016949,0.921875,0.4444444444444445,0.4472135954999579
intercafe.csv,1.0,0.75,0.9021739130434783,0.9629629629629629,0.8571428571428571,0.8660254037844386
ivy-2.0.csv,0.5,0.325,0.8375801282051283,0.8863636363636364,0.393939393939394,0.4031128874149275
jedit-4.3.csv,0.42857142857142855,0.2727272727272727,0.82999432999433,0.975609756097561,0.33333333333333326,0.3418817293789138
kalkulator.csv,0.75,0.5,0.9206349206349207,0.8518518518518519,0.6,0.6123724356957945
log4j-1.2.csv,0.9230769230769231,0.9523809523809523,0.656415343915344,0.8829268292682927,0.9375,0.9376144618769908
lucene-2.4.csv,0.7947368421052632,0.7438423645320197,0.7844018553809644,0.7323529411764705,0.7684478371501273,0.7688686050374859
nieruchomosci.csv,0.875,0.7,0.9352941176470588,0.8518518518518519,0.7777777777777777,0.7826237921249264
pbeans2.csv,0.625,0.5,0.6923076923076923,0.8367346938775511,0.5555555555555556,0.5590169943749475
pdftranslator.csv,0.9285714285714286,0.8666666666666667,0.9851851851851852,0.9090909090909091,0.896551724137931,0.8970852271450604
poi-2.5.csv,0.8842975206611571,0.8629032258064516,0.8999735107134448,0.8389610389610389,0.8734693877551021,0.8735348780393143
prop-6.csv,0.4,0.12121212121212122,0.7258315478012448,0.8939393939393939,0.186046511627907,0.22019275302527214
redaktor.csv,0.7222222222222222,0.48148148148148145,0.7698235147899578,0.8920454545454546,0.5777777777777777,0.5896919751144688
serapion.csv,0.8571428571428571,0.6666666666666666,0.904320987654321,0.9111111111111111,0.75,0.7559289460184544
skarbonka.csv,0.4,0.2222222222222222,0.7746913580246915,0.7777777777777778,0.2857142857142857,0.29814239699997197
sklebagd.csv,0.9166666666666666,0.9166666666666666,0.8854166666666666,0.9,0.9166666666666666,0.9166666666666666
synapse-1.2.csv,0.654320987654321,0.6162790697674418,0.777906976744186,0.76171875,0.6347305389221557,0.635015219975804
systemdata.csv,0.75,0.3333333333333333,0.6051587301587301,0.8923076923076924,0.46153846153846156,0.5
szybkafucha.csv,0.6428571428571429,0.6428571428571429,0.6818181818181818,0.6,0.6428571428571429,0.6428571428571429
termoproject.csv,0.8888888888888888,0.6153846153846154,0.896551724137931,0.8571428571428571,0.7272727272727274,0.7396002616336389
tomcat.csv,0.6071428571428571,0.22077922077922077,0.8091856926684071,0.9172494172494172,0.32380952380952377,0.3661209184158558
velocity-1.6.csv,0.5915492957746479,0.5384615384615384,0.7705043301069792,0.7161572052401747,0.5637583892617449,0.5643815587691154
workflow.csv,0.42105263157894735,0.4,0.4552631578947368,0.41025641025641024,0.41025641025641024,0.41039134083406165
wspomaganiepi.csv,0.9230769230769231,1.0,0.9444444444444444,0.9444444444444444,0.9600000000000001,0.9607689228305228
xalan-2.7.csv,0.9955604883462819,0.9988864142538976,0.938803401498279,0.9944994499449945,0.9972206781545302,0.997222064726346
xerces-1.4.csv,0.9390519187358917,0.9519450800915332,0.9281146286389743,0.9183673469387755,0.9454545454545454,0.9454765221787087
zuzel.csv,1.0,0.7692307692307693,0.9134615384615384,0.896551724137931,0.8695652173913044,0.8770580193070292
