Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
ant-1.7.csv,0.6932515337423313,0.6807228915662651,0.8442266475227334,0.8617449664429531,0.6869300911854104,0.6869586513261391
arc.csv,0.4166666666666667,0.5555555555555556,0.7752728573984613,0.8589743589743589,0.4761904761904762,0.4811252243246882
camel-1.6.csv,0.5955882352941176,0.4308510638297872,0.760371313562803,0.8321243523316062,0.5,0.5065667031901882
e-learning.csv,0.25,0.6,0.8203389830508475,0.828125,0.35294117647058826,0.3872983346207417
intercafe.csv,0.375,0.75,0.8804347826086957,0.7777777777777778,0.5,0.5303300858899106
ivy-2.0.csv,0.6206896551724138,0.45,0.8318108974358974,0.90625,0.5217391304347826,0.5284981975632331
jedit-4.3.csv,0.07547169811320754,0.36363636363636365,0.8124173124173124,0.8861788617886179,0.125,0.16566307331251645
kalkulator.csv,0.8,0.6666666666666666,0.8809523809523809,0.8888888888888888,0.7272727272727272,0.7302967433402214
log4j-1.2.csv,0.9637681159420289,0.7037037037037037,0.7215608465608465,0.7024390243902439,0.8134556574923548,0.8235333585835769
lucene-2.4.csv,0.83,0.8177339901477833,0.8360361008234152,0.7911764705882353,0.8238213399503722,0.8238441671958721
nieruchomosci.csv,0.8,0.8,0.9235294117647058,0.8518518518518519,0.8000000000000002,0.8
pbeans2.csv,0.6666666666666666,0.6,0.6897435897435898,0.8571428571428571,0.631578947368421,0.6324555320336759
pdftranslator.csv,1.0,0.9333333333333333,0.9888888888888889,0.9696969696969697,0.9655172413793104,0.9660917830792959
poi-2.5.csv,0.9016393442622951,0.8870967741935484,0.9114963503649636,0.8649350649350649,0.8943089430894309,0.8943385006702262
prop-6.csv,0.26956521739130435,0.4696969696969697,0.7160621365166819,0.8196969696969697,0.3425414364640884,0.35582856229426063
redaktor.csv,0.3888888888888889,0.5185185185185185,0.7817549092716878,0.8011363636363636,0.4444444444444444,0.4490502093697089
serapion.csv,0.5454545454545454,0.6666666666666666,0.9012345679012346,0.8222222222222222,0.6,0.6030226891555273
skarbonka.csv,0.45454545454545453,0.5555555555555556,0.787037037037037,0.7777777777777778,0.5,0.502518907629606
sklebagd.csv,0.6875,0.9166666666666666,0.9375,0.7,0.7857142857142857,0.7938566201357353
synapse-1.2.csv,0.7283950617283951,0.686046511627907,0.8394664842681259,0.80859375,0.7065868263473054,0.7069037354447629
systemdata.csv,0.375,0.3333333333333333,0.6904761904761905,0.8307692307692308,0.35294117647058826,0.3535533905932738
szybkafucha.csv,0.8888888888888888,0.5714285714285714,0.7792207792207793,0.72,0.6956521739130435,0.7126966450997984
termoproject.csv,0.7272727272727273,0.6153846153846154,0.8381962864721486,0.8095238095238095,0.6666666666666667,0.6689936080056726
tomcat.csv,0.3813559322033898,0.5844155844155844,0.8308029998170843,0.8776223776223776,0.46153846153846156,0.4720914635841174
velocity-1.6.csv,0.7580645161290323,0.6025641025641025,0.8085413482764476,0.7991266375545851,0.6714285714285715,0.6758568375380847
workflow.csv,0.5454545454545454,0.6,0.5078947368421053,0.5384615384615384,0.5714285714285713,0.5720775535473553
wspomaganiepi.csv,0.9230769230769231,1.0,0.9444444444444444,0.9444444444444444,0.9600000000000001,0.9607689228305228
xalan-2.7.csv,0.9965714285714286,0.9710467706013363,0.9250354322737396,0.9680968096809681,0.9836435420191765,0.9837263173199373
xerces-1.4.csv,0.9487179487179487,0.931350114416476,0.9325927834270388,0.9115646258503401,0.9399538106235565,0.9399939202396076
zuzel.csv,0.8461538461538461,0.8461538461538461,0.8942307692307693,0.8620689655172413,0.8461538461538461,0.8461538461538461
