Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
ant-1.7.csv,0.7166666666666667,0.5180722891566265,0.8391805564225814,0.8469798657718121,0.6013986013986015,0.6093317163600209
arc.csv,0.375,0.2222222222222222,0.794238683127572,0.8675213675213675,0.27906976744186046,0.28867513459481287
camel-1.6.csv,0.5408163265306123,0.28191489361702127,0.7283400421698294,0.8134715025906736,0.3706293706293707,0.3904666146551147
e-learning.csv,0.5,0.4,0.9406779661016949,0.921875,0.4444444444444445,0.4472135954999579
intercafe.csv,1.0,0.75,0.9021739130434783,0.9629629629629629,0.8571428571428571,0.8660254037844386
ivy-2.0.csv,0.5416666666666666,0.325,0.8237179487179487,0.8920454545454546,0.40624999999999994,0.4195731958391368
jedit-4.3.csv,0.42857142857142855,0.2727272727272727,0.82999432999433,0.975609756097561,0.33333333333333326,0.3418817293789138
kalkulator.csv,0.75,0.5,0.9206349206349207,0.8518518518518519,0.6,0.6123724356957945
log4j-1.2.csv,0.9282051282051282,0.9576719576719577,0.6851851851851851,0.8926829268292683,0.9427083333333334,0.9428234311096408
lucene-2.4.csv,0.8113207547169812,0.8472906403940886,0.8404588112617309,0.7911764705882353,0.8289156626506025,0.8291106571677669
nieruchomosci.csv,0.875,0.7,0.9352941176470588,0.8518518518518519,0.7777777777777777,0.7826237921249264
pbeans2.csv,0.625,0.5,0.6974358974358974,0.8367346938775511,0.5555555555555556,0.5590169943749475
pdftranslator.csv,0.9285714285714286,0.8666666666666667,0.9851851851851852,0.9090909090909091,0.896551724137931,0.8970852271450604
poi-2.5.csv,0.8962655601659751,0.8709677419354839,0.9007534730397927,0.8519480519480519,0.8834355828220859,0.8835261122979337
prop-6.csv,0.5172413793103449,0.22727272727272727,0.7545786144270992,0.9015151515151515,0.3157894736842105,0.34286274066187084
redaktor.csv,0.7222222222222222,0.48148148148148145,0.7742977877206064,0.8920454545454546,0.5777777777777777,0.5896919751144688
serapion.csv,0.8571428571428571,0.6666666666666666,0.904320987654321,0.9111111111111111,0.75,0.7559289460184544
skarbonka.csv,0.8333333333333334,0.5555555555555556,0.8425925925925926,0.8888888888888888,0.6666666666666667,0.6804138174397717
sklebagd.csv,0.9166666666666666,0.9166666666666666,0.8854166666666666,0.9,0.9166666666666666,0.9166666666666666
synapse-1.2.csv,0.6756756756756757,0.5813953488372093,0.8133378932968537,0.765625,0.6250000000000001,0.6267652632048752
systemdata.csv,0.75,0.3333333333333333,0.6051587301587301,0.8923076923076924,0.46153846153846156,0.5
szybkafucha.csv,0.75,0.6428571428571429,0.7922077922077922,0.68,0.6923076923076924,0.6943650748294137
termoproject.csv,0.8888888888888888,0.6153846153846154,0.896551724137931,0.8571428571428571,0.7272727272727274,0.7396002616336389
tomcat.csv,0.5641025641025641,0.2857142857142857,0.8175000415717444,0.916083916083916,0.3793103448275862,0.4014625277309965
velocity-1.6.csv,0.6885245901639344,0.5384615384615384,0.7859144167091187,0.759825327510917,0.6043165467625898,0.608887518420498
workflow.csv,0.45,0.45,0.4710526315789474,0.4358974358974359,0.45,0.45
wspomaganiepi.csv,0.9230769230769231,1.0,0.9444444444444444,0.9444444444444444,0.9600000000000001,0.9607689228305228
xalan-2.7.csv,0.9955604883462819,0.9988864142538976,0.938803401498279,0.9944994499449945,0.9972206781545302,0.997222064726346
xerces-1.4.csv,0.9394618834080718,0.9588100686498856,0.9296831194023065,0.923469387755102,0.9490373725934316,0.9490866730306796
zuzel.csv,1.0,0.7692307692307693,0.9134615384615384,0.896551724137931,0.8695652173913044,0.8770580193070292
